"startpoint";"replicata_export_date";"parent";"id";"type";"title";"description";"subject";"relatedItems";"location";"language";"effectiveDate";"expirationDate";"creation_date";"modification_date";"creators";"contributors";"rights";"allowDiscussion";"excludeFromNav";"nextPreviousEnabled";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"synonyms"
"Start point";"Export Date";"Parent folder";"Identifier";"Content type";"Title";"label_description";"label_tags";"label_related_items";"label_location";"label_language";"label_effective_date";"label_expiration_date";"label_creation_date";"label_modification_date";"label_creators";"label_contributors";"label_copyrights";"label_allow_comments";"label_exclude_from_nav";"label_nextprevious";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"Synonyms"
"/Plone/marscategories";"20120906162153";"chronology";"chronostratigraphy";"Mars Category";"Chronostratigraphy";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology";"ois";"Mars Category";"OIS";"";"";"";"";"fr";"";"";"25/05/2011 15:13:11";"25/05/2011 15:13:11";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology";"paleontological";"Mars Category";"Paleontological";"";"";"";"";"fr";"";"";"25/05/2011 15:13:12";"25/05/2011 15:13:12";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology/cultural";"europe";"Mars Category";"Europe";"";"";"";"";"fr";"";"";"25/05/2011 15:13:00";"25/05/2011 15:13:00";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology/cultural";"oceania";"Mars Category";"Oceania";"";"";"";"";"fr";"";"";"25/05/2011 15:13:05";"25/05/2011 15:13:05";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology/cultural";"africa";"Mars Category";"Africa";"";"";"";"";"fr";"";"";"25/05/2011 15:13:07";"25/05/2011 15:13:07";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology/cultural";"america";"Mars Category";"America";"";"";"";"";"fr";"";"";"25/05/2011 15:13:08";"25/05/2011 15:13:08";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology/cultural";"asia";"Mars Category";"Asia";"";"";"";"";"fr";"";"";"25/05/2011 15:13:09";"25/05/2011 15:13:09";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology/cultural/oceania";"praehistory";"Mars Category";"Praehistory";"";"";"";"";"fr";"";"";"25/05/2011 15:13:06";"25/05/2011 15:13:06";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology/cultural/oceania";"history";"Mars Category";"History";"";"";"";"";"fr";"";"";"25/05/2011 15:13:07";"25/05/2011 15:13:07";"admin";"";"";"";"True";"False";"";"";""
